Player ID,Date,Team,Opponent,Rebounds,Predicted Rebounds (Linear Model),Predicted Rebounds (Random Forest)
agbajoc01,2024-01-05,UTA,BOS,4.0,3.0688755670996084,3.03
agbajoc01,2024-01-06,UTA,PHI,3.0,2.0289038882047583,1.32
agbajoc01,2024-01-08,UTA,MIL,1.0,2.5441837907415676,3.73
agbajoc01,2024-01-10,UTA,DEN,4.0,3.4847524293763974,3.775
agbajoc01,2024-01-12,UTA,TOR,5.0,2.973320415773564,1.69
agbajoc01,2024-01-13,UTA,LAL,4.0,4.013470347596006,4.03
agbajoc01,2024-01-15,UTA,IND,4.0,4.493552174505037,4.7
agbajoc01,2024-01-18,UTA,OKC,1.0,2.4309775200881947,2.25
agbajoc01,2024-01-20,UTA,HOU,0.0,1.8552945108672176,2.41
agbajoc01,2024-01-23,UTA,NOP,2.0,1.4226061853509013,1.55
agbajoc01,2024-01-25,UTA,WAS,4.0,1.9816572153988723,2.61
agbajoc01,2024-01-27,UTA,CHO,2.0,2.0203334312852843,1.99
agbajoc01,2024-01-29,UTA,BRK,3.0,3.5326648739758126,3.26
agbajoc01,2024-01-30,UTA,NYK,1.0,1.5007720694942188,1.39
agbajoc01,2024-02-01,UTA,PHI,1.0,1.9908826632069923,1.98
agbajoc01,2024-02-04,UTA,MIL,1.0,1.0091609314467918,1.02
agbajoc01,2024-02-10,TOR,CLE,2.0,1.526906805497476,1.67
agbajoc01,2024-02-12,TOR,SAS,2.0,1.5343920412812069,1.46
agbajoc01,2024-02-14,TOR,IND,0.0,1.0182210708292563,0.86
agbajoc01,2024-02-22,TOR,BRK,0.0,0.9930220726397181,1.19
agbajoc01,2024-02-23,TOR,ATL,4.0,1.9806735713880967,1.7
agbajoc01,2024-02-26,TOR,IND,2.0,1.0087876365333042,1.59
agbajoc01,2024-02-28,TOR,DAL,1.0,2.5900863658550035,2.46
agbajoc01,2024-03-01,TOR,GSW,1.0,1.5309537640908524,1.6616666666666668
